Name,State,County,Code,Year,Deaths,Population,Rate
"Baldwin County, AL",AL,Baldwin County,1003,2006,22,168121,13.09
"Baldwin County, AL",AL,Baldwin County,1003,2007,29,172404,16.82
"Baldwin County, AL",AL,Baldwin County,1003,2008,27,175827,15.36
"Baldwin County, AL",AL,Baldwin County,1003,2009,32,179406,17.84
"Baldwin County, AL",AL,Baldwin County,1003,2010,26,182265,14.26
"Baldwin County, AL",AL,Baldwin County,1003,2011,24,186717,12.85
"Baldwin County, AL",AL,Baldwin County,1003,2012,34,190790,17.82
"Baldwin County, AL",AL,Baldwin County,1003,2013,23,195540,11.76
"Baldwin County, AL",AL,Baldwin County,1003,2014,40,200111,19.99
"Blount County, AL",AL,Blount County,1009,2008,18,57055,Unreliable
"Blount County, AL",AL,Blount County,1009,2009,11,57341,Unreliable
"Blount County, AL",AL,Blount County,1009,2010,10,57322,Unreliable
"Blount County, AL",AL,Blount County,1009,2012,18,57826,Unreliable
"Blount County, AL",AL,Blount County,1009,2013,13,57872,Unreliable
"Blount County, AL",AL,Blount County,1009,2014,12,57719,Unreliable
"Calhoun County, AL",AL,Calhoun County,1015,2007,13,116211,Unreliable
"Calhoun County, AL",AL,Calhoun County,1015,2008,21,117274,17.91
"Calhoun County, AL",AL,Calhoun County,1015,2009,17,118363,Unreliable
"Calhoun County, AL",AL,Calhoun County,1015,2010,21,118572,17.71
"Calhoun County, AL",AL,Calhoun County,1015,2011,15,117797,Unreliable
"Calhoun County, AL",AL,Calhoun County,1015,2014,19,115916,Unreliable
"Chilton County, AL",AL,Chilton County,1021,2006,13,42318,Unreliable
"Chilton County, AL",AL,Chilton County,1021,2010,11,43643,Unreliable
"Cullman County, AL",AL,Cullman County,1043,2008,11,80273,Unreliable
"Cullman County, AL",AL,Cullman County,1043,2011,13,80536,Unreliable
"Cullman County, AL",AL,Cullman County,1043,2012,13,80440,Unreliable
"Cullman County, AL",AL,Cullman County,1043,2013,16,80811,Unreliable
"Cullman County, AL",AL,Cullman County,1043,2014,30,81289,36.91
"DeKalb County, AL",AL,DeKalb County,1049,2007,12,69450,Unreliable
"DeKalb County, AL",AL,DeKalb County,1049,2008,12,70228,Unreliable
"DeKalb County, AL",AL,DeKalb County,1049,2009,14,70864,Unreliable
"DeKalb County, AL",AL,DeKalb County,1049,2011,11,71375,Unreliable
"DeKalb County, AL",AL,DeKalb County,1049,2012,16,71080,Unreliable
"DeKalb County, AL",AL,DeKalb County,1049,2013,23,71013,32.39
"Elmore County, AL",AL,Elmore County,1051,2014,10,80977,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2009,17,38249,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2010,13,38319,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2011,18,38095,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2012,10,37994,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2013,13,37983,Unreliable
"Escambia County, AL",AL,Escambia County,1053,2014,13,37733,Unreliable
"Etowah County, AL",AL,Etowah County,1055,2006,10,103528,Unreliable
"Etowah County, AL",AL,Etowah County,1055,2007,14,103893,Unreliable
"Etowah County, AL",AL,Etowah County,1055,2008,20,104206,19.19
"Etowah County, AL",AL,Etowah County,1055,2009,16,104239,Unreliable
"Etowah County, AL",AL,Etowah County,1055,2010,12,104430,Unreliable
